row,nameInMMS,nameInBag
384,myd_mgzto7622_v01f01_em,myd_mgzto7622_v01f01_pm
385,myd_mgzto7621_v01f01_em,myd_mgzto7621_v01f01_pm
386,myd_mgzto7621_v01f01_em,myd_mgzto7621_v01f01_sc
387,myd_mgzto7621_v01f01_em,myd_mgzto7621_v01f01_em
388,myd_mgzto7620_v01f01_em,myd_mgzto7620_v01f01_pm
389,myd_mgzto7620_v01f01_em,myd_mgzto7620_v01f01_sc
390,myd_mgzto7620_v01f01_em,myd_mgzto7620_v01f01_em
391,myd_mgzto7619_v01f01_em,myd_mgzto7619_v01f01_sc
392,myd_mgzto7619_v01f01_em,myd_mgzto7619_v01f01_em
393,myd_mgzto7619_v01f01_em,myd_mgzto7619_v01f01_pm
394,myd_mgzto7618_v01f01_em,myd_mgzto7618_v01f01_sc
395,myd_mgzto7618_v01f01_em,myd_mgzto7618_v01f01_pm
396,myd_mgzto7618_v01f01_em,myd_mgzto7618_v01f01_em
397,myd_mgzto7615_v01f01_em,myd_mgzto7615_v01f01_sc
398,myd_mgzto7615_v01f01_em,myd_mgzto7615_v01f01_em
